title,covered_by,chapter,status
Observability engineer,DevOps / site reliability engineer,23,growing
Open source maintainer,Open source maintainer,28,profiled
Operations research analyst,not profiled,26,growing
optical engineer,not profiled,29,growing
optimisation analyst,not profiled,26,growing
Oracle applications consultant,"SAP S/4HANA (ABAP, Basis, functional)",25,stable
Oracle EBS consultant,"SAP S/4HANA (ABAP, Basis, functional)",25,stable
Oracle Fusion consultant,"SAP S/4HANA (ABAP, Basis, functional)",25,stable
Oracle Health analyst,Epic healthcare IT analyst,25,stable
OSS engineer,Telecom network and OSS/BSS systems,25,profiled
part-time technical leadership,Fractional technical leadership,28,profiled
payments engineer,Core banking and payments engineering,25,profiled
payments platform engineer,Core banking and payments engineering,25,growing
PCB design engineer,not profiled,25,stable
Penetration tester,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
perception engineer,Robotics and automation software,26,profiled
performance data analyst,not profiled,26,stable
personalisation engineer,Machine learning engineer,23,stable
pharma validation engineer,Medical device software,25,stable
PhD exit,Leaving research: the doctorate in an ordinary job,27,profiled
Photonics engineer,not profiled,29,growing
Physical design engineer,not profiled,29,growing
Platform engineer,DevOps / site reliability engineer,23,growing
PLC programmer,Industrial automation and OT security,25,profiled
policy administration developer,Insurance core systems (Guidewire and Duck Creek),25,profiled
post-academic career,Leaving research: the doctorate in an ordinary job,27,profiled
Post-quantum cryptography migration engineer,not profiled,29,growing
postdoc,Postdoctoral researcher,27,profiled
Postdoctoral researcher,Postdoctoral researcher,27,profiled
Power Platform developer,not profiled,29,growing
PQC engineer,not profiled,29,growing
pre-sales engineer,not profiled,28,stable
precision agriculture developer,Agricultural technology,26,profiled
Privacy engineer,not profiled,25,growing
privacy officer,not profiled,25,growing
product manager,not profiled,24,stable
product owner,not profiled,24,stable
product security engineer,"Security specialisations (appsec, SOC, incident response, GRC)",25,growing
professor of practice,Teaching-focused faculty,27,profiled
programmer analyst,Backend engineer,23,contracting
Prompt engineer,not profiled,29,absorbed
public research institute,National laboratory and public institute researcher,27,profiled
public sector modernisation,Government and public sector IT,25,profiled
QA engineer,Manual QA / software tester,24,absorbed
quant,"Quantitative finance (researcher, trader, developer)",26,profiled
quant developer,"Quantitative finance (researcher, trader, developer)",26,profiled
quant researcher,"Quantitative finance (researcher, trader, developer)",26,profiled
"Quantitative finance (researcher, trader, developer)","Quantitative finance (researcher, trader, developer)",26,profiled
quantitative trader,"Quantitative finance (researcher, trader, developer)",26,profiled
Quantum computing,Quantum computing,26,profiled
quantum error correction engineer,Quantum computing,26,profiled
quantum researcher,Quantum computing,26,profiled
quantum software engineer,Quantum computing,26,profiled
radio frequency engineer,Telecom network and OSS/BSS systems,25,stable
radiology AI engineer,Medical device software,26,growing
RAG engineer,not profiled,29,growing
Rail signalling engineer,Industrial automation and OT security,25,stable
railway control systems engineer,Industrial automation and OT security,25,stable
RAN software engineer,Telecom network and OSS/BSS systems,25,profiled
